scope,page_number,metric,cluster_id,position_mean,position_min,position_max,position_range,x0_min,x1_max,token_count,page_count,sample_pages,sample_texts
sample_page,369,x_center,14,247.0690933333333,246.60343999999998,247.97503999999998,1.3716000000000008,228.34928,267.6008,3,1,369,KA15|RM|isteri/suami
sample_page,369,x_center,15,251.00140933333336,251.00072,251.03174,0.03102000000001226,230.25548,271.808,45,1,369,131.60|132.00|132.40|132.80|133.20|133.60|134.00|134.40
sample_page,369,x_center,16,259.52779999999996,259.22426,259.83133999999995,0.6070799999999394,244.82,274.24267999999995,2,1,369,Category|Kategori
sample_page,369,x_center,17,277.95868666666667,276.29672,279.0588,2.762080000000026,269.46992,287.65688000000006,6,1,369,is|2|tidak|KA16|RM
sample_page,369,x_center,18,283.48222666666663,283.43071999999995,285.74852,2.317800000000034,273.53,293.33144,45,1,369,118.25|118.65|119.05|119.45|119.85|120.25|120.65|121.05
sample_page,369,x_center,19,300.33518000000004,300.33518000000004,300.33518000000004,0.0,287.93456000000003,312.73580000000004,1,1,369,bekerja
sample_page,369,x_center,20,304.70168,304.70168,304.70168,0.0,292.5524,316.85096000000004,1,1,369,working
sample_page,369,x_center,21,311.44612,311.43344,311.4588,0.025359999999977845,302.81,320.05688000000004,2,1,369,KA17|RM
sample_page,369,x_center,22,315.83072000000004,315.83072000000004,315.83072000000004,0.0,305.93,325.73144,44,1,369,104.95|105.35|105.75|106.15|106.55|106.95|107.35|107.75
sample_page,369,x_center,23,343.84612,343.83344,343.8588,0.025359999999977845,335.21,352.45688,2,1,369,KA18|RM
sample_page,369,x_center,24,349.08981090909094,348.23072,350.03072000000003,1.8000000000000114,338.33,358.13144000000005,44,1,369,100.00|100.40|100.80|101.20|101.60|102.00|102.40|102.80
sample_page,369,x_center,25,376.24612,376.23344000000003,376.25880000000006,0.025360000000034688,367.61,384.85688000000005,2,1,369,KA19|RM
