page_number,page_width,page_height,rotation,page_box_signature,is_page_box_or_rotation_outlier,is_sampled,sample_reasons,token_count,x_center_min,x_center_max,y_center_min,y_center_max,extraction_error
327,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
328,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
329,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
330,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
331,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
332,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
333,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
334,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
335,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
336,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
337,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
338,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
339,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
340,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
341,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
342,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
343,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
344,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
345,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
346,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
347,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
348,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
349,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
350,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
351,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
352,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
353,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
354,792.0,612.0,0,792.00x612.00/rot=0,False,True,manual_extra_pages,1314,39.4346,731.57218,88.87651999999997,584.6099999999999,
355,792.0,612.0,0,792.00x612.00/rot=0,False,True,manual_extra_pages,577,38.2344,731.57218,88.87651999999997,584.6099999999999,
356,792.0,612.0,0,792.00x612.00/rot=0,False,True,manual_extra_pages,84,148.466112,662.844096,154.21244000000002,594.3,
357,792.0,612.0,0,792.00x612.00/rot=0,False,True,manual_extra_pages,892,46.8183,732.7087999999999,63.23395999999997,584.22,
358,792.0,612.0,0,792.00x612.00/rot=0,False,True,manual_extra_pages,1094,58.321439999999996,732.7087999999999,62.02556000000004,584.22,
