page_number,page_width,page_height,rotation,page_box_signature,is_page_box_or_rotation_outlier,is_sampled,sample_reasons,token_count,x_center_min,x_center_max,y_center_min,y_center_max,extraction_error
226,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
227,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
228,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
229,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
230,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
231,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
232,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
233,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
234,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
235,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
236,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
237,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
238,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
239,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
240,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
241,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
242,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
243,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
244,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
245,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
246,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
247,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
248,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
249,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
250,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
251,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
252,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
253,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
254,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
255,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
256,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
257,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
258,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
259,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
260,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
261,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
262,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
263,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
264,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
265,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
266,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
267,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
268,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
269,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
270,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
271,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
272,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
273,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
274,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
275,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
276,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
277,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
278,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
279,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
280,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
281,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
282,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
283,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
