page_number,template_family,section_code,row_index,center,top_boundary,bottom_boundary,salary_from,salary_to,line_token_count,expected_cell_count,assigned_cell_token_count,line_text
10,normal_ka1_ka10,KA1_KA10,38,446.0972,442.2572,449.9372,5111,5115,26,25,25,5111 - 5115 177.75 139.20 125.85 112.55 99.20 85.85 72.55 59.20 - - - - 177.75 154.45 139.20 125.85 112.55 99.20 85.85 72.55 59.20 15.10 10.10
10,normal_ka1_ka10,KA1_KA10,39,453.7772,449.9372,457.6172,5116,5120,26,25,25,5116 - 5120 178.45 139.60 126.25 112.95 99.60 86.25 72.95 59.60 - - - - 178.45 155.15 139.60 126.25 112.95 99.60 86.25 72.95 59.60 15.25 10.25
10,normal_ka1_ka10,KA1_KA10,40,461.4572,457.6172,465.2972,5121,5125,26,25,25,5121 - 5125 179.15 140.00 126.65 113.35 100.00 86.65 73.35 60.00 - - - - 179.15 155.85 140.00 126.65 113.35 100.00 86.65 73.35 60.00 15.40 10.40
10,normal_ka1_ka10,KA1_KA10,41,469.1372,465.2972,472.9772,5126,5130,26,25,25,5126 - 5130 179.85 140.40 127.05 113.75 100.40 87.05 73.75 60.40 - - - - 179.85 156.55 140.40 127.05 113.75 100.40 87.05 73.75 60.40 15.55 10.55
10,normal_ka1_ka10,KA1_KA10,42,476.8172,472.9772,480.6572,5131,5135,26,25,25,5131 - 5135 180.55 140.80 127.45 114.15 100.80 87.45 74.15 60.80 - - - - 180.55 157.25 140.80 127.45 114.15 100.80 87.45 74.15 60.80 15.70 10.70
10,normal_ka1_ka10,KA1_KA10,43,484.4972,480.6572,488.3372,5136,5140,26,25,25,5136 - 5140 181.25 141.20 127.85 114.55 101.20 87.85 74.55 61.20 - - - - 181.25 157.95 141.20 127.85 114.55 101.20 87.85 74.55 61.20 15.85 10.85
10,normal_ka1_ka10,KA1_KA10,44,492.1772,488.3372,496.0172,5141,5145,26,25,25,5141 - 5145 181.95 141.60 128.25 114.95 101.60 88.25 74.95 61.60 - - - - 181.95 158.65 141.60 128.25 114.95 101.60 88.25 74.95 61.60 16.00 11.00
10,normal_ka1_ka10,KA1_KA10,45,499.8572,496.0172,503.7072,5146,5150,26,25,25,5146 - 5150 182.65 142.00 128.65 115.35 102.00 88.65 75.35 62.00 - - - - 182.65 159.35 142.00 128.65 115.35 102.00 88.65 75.35 62.00 16.15 11.15
10,normal_ka1_ka10,KA1_KA10,46,507.5572,503.7072,511.3972,5151,5155,26,25,25,5151 - 5155 183.35 142.40 129.05 115.75 102.40 89.05 75.75 62.40 - - - - 183.35 160.05 142.40 129.05 115.75 102.40 89.05 75.75 62.40 16.30 11.30
10,normal_ka1_ka10,KA1_KA10,47,515.2372,511.3972,519.0772,5156,5160,26,25,25,5156 - 5160 184.05 142.80 129.45 116.15 102.80 89.45 76.15 62.80 - - - - 184.05 160.75 142.80 129.45 116.15 102.80 89.45 76.15 62.80 16.45 11.45
355,short_final_ka1_ka10,KA1_KA10,1,161.8872,158.0472,165.7272,86001,86005,26,25,25,86001 - 86005 20342.25 20248.90 20202.25 20155.55 20108.90 20062.25 20015.55 19968.90 19922.25 19875.55 19828.90 19783.80 20342.25 20295.55 20248.90 20202.25 20155.55 20108.90 20062.25 20015.55 19968.90 19922.25 19875.55
355,short_final_ka1_ka10,KA1_KA10,2,169.5672,165.7272,173.4072,86006,86010,26,25,25,86006 - 86010 20343.65 20250.30 20203.65 20156.95 20110.30 20063.65 20016.95 19970.30 19923.65 19876.95 19830.30 19785.10 20343.65 20296.95 20250.30 20203.65 20156.95 20110.30 20063.65 20016.95 19970.30 19923.65 19876.95
