source_page,template_family,section_code,parsed_grid_rows,canonical_records,populated_records,observed_dash_records,provenance_path
133,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
134,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
135,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
136,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
137,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
138,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
139,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
140,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
141,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
142,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
143,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
144,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
145,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
146,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
147,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
148,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
149,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
150,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
151,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
152,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
153,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
154,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
155,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
156,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
157,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
158,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
159,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
160,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
161,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
162,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
163,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
164,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
165,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
166,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
167,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
168,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
169,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
170,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
171,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
172,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
